HOG_0435976_sub10144	'tr|Q4X1E4|Q4X1E4_ASPFU', 'tr|A7F574|A7F574_SCLS1', 'tr|Q6C3N9|Q6C3N9_YARLI'
HOG_0429345_sub13296	'sp|Q4WDF1|EPL1_ASPFU', 'tr|A7E4J1|A7E4J1_SCLS1'
HOG_0426149_sub10808	'tr|Q4WJK2|Q4WJK2_ASPFU', 'tr|A7EQ09|A7EQ09_SCLS1'
HOG_0682576_sub13237	'tr|E9R3W5|E9R3W5_ASPFU', 'tr|A7EY67|A7EY67_SCLS1', 'sp|Q12074|SPEE_YEAST', 'tr|Q6C3P7|Q6C3P7_YARLI', 'sp|Q09741|SPEE_SCHPO'
HOG_0434741_sub11269	'tr|Q4X0V8|Q4X0V8_ASPFU', 'sp|Q9USJ8|CTK3_SCHPO'
HOG_0907868_sub11960	'tr|Q4X196|Q4X196_ASPFU', 'tr|A7E450|A7E450_SCLS1', 'sp|Q08975|THI21_YEAST', 'tr|Q6C731|Q6C731_YARLI', 'sp|O94266|THI22_SCHPO'
HOG_0355957_sub10719	'sp|Q12343|MED4_YEAST', 'sp|Q8WZL6|MED4_YARLI'
HOG_0688905_sub13450	'tr|Q4WN51|Q4WN51_ASPFU', 'tr|A7EA31|A7EA31_SCLS1'
HOG_0900755_sub12008	'tr|Q4WGV7|Q4WGV7_ASPFU', 'tr|A7F0I2|A7F0I2_SCLS1', 'sp|P53051|MALX3_YEAST'
HOG_0417874_sub11070	'tr|Q4WS55|Q4WS55_ASPFU', 'tr|A7EGM3|A7EGM3_SCLS1'
HOG_0681854_sub10208	'tr|Q4WP51|Q4WP51_ASPFU', 'tr|A7F6B9|A7F6B9_SCLS1', 'sp|P32368|SAC1_YEAST', 'tr|Q6CA45|Q6CA45_YARLI', 'sp|O60162|YG23_SCHPO'
HOG_0680576_sub10202	'tr|Q4WTI0|Q4WTI0_ASPFU', 'tr|A7EXZ5|A7EXZ5_SCLS1', 'tr|Q6C0Y2|Q6C0Y2_YARLI', 'sp|Q9P7A1|PITH1_SCHPO'
HOG_0686362_sub10299	'sp|Q4WS76|ARO1_ASPFU', 'sp|A7F7H0|ARO1_SCLS1', 'sp|P08566|ARO1_YEAST', 'sp|Q6C1X5|ARO1_YARLI', 'sp|Q9P7R0|ARO1_SCHPO'
HOG_0355702_sub10820	'sp|P36152|DRE2_YEAST', 'sp|Q6CCV4|DRE2_YARLI'
HOG_0355806_sub13350	'sp|Q06102|YTH1_YEAST', 'sp|Q6C922|YTH1_YARLI'
HOG_0390391_sub11519	'tr|Q4X107|Q4X107_ASPFU', 'tr|A7E4E0|A7E4E0_SCLS1'
HOG_0900966_sub11609	'tr|Q4X1Z2|Q4X1Z2_ASPFU', 'tr|A7EU20|A7EU20_SCLS1'
HOG_0900966_sub11616	'tr|Q4WAT5|Q4WAT5_ASPFU', 'tr|A7F2D2|A7F2D2_SCLS1', 'sp|P36013|MAOM_YEAST', 'tr|Q6C5F0|Q6C5F0_YARLI', 'sp|P40375|MAOX_SCHPO'
HOG_0901214_sub13065	'sp|Q4WV19|UBA4_ASPFU', 'sp|A7F582|UBA4_SCLS1', 'sp|P38820|UBA4_YEAST', 'sp|Q6CBK1|UBA4_YARLI', 'sp|Q09810|UBA4_SCHPO'
HOG_0426560_sub13030	'tr|Q4X1F3|Q4X1F3_ASPFU', 'tr|A7EP10|A7EP10_SCLS1'
HOG_0430555_sub10180	'sp|Q4WHD1|ACUK_ASPFU', 'sp|A7EAG1|ACUK_SCLS1'
HOG_0434013_sub10877	'tr|Q4X151|Q4X151_ASPFU', 'tr|A7EQX4|A7EQX4_SCLS1', 'sp|Q06697|CDC73_YEAST', 'tr|Q6CHW0|Q6CHW0_YARLI', 'sp|Q9UUE7|CDC73_SCHPO'
HOG_0681374_sub13682	'tr|Q4WRM8|Q4WRM8_ASPFU', 'tr|A7ENW1|A7ENW1_SCLS1', 'sp|P39006|PSD1_YEAST', 'tr|Q6C893|Q6C893_YARLI', 'sp|O14333|PSD1_SCHPO'
HOG_0428600_sub14363	'tr|Q4X1F5|Q4X1F5_ASPFU', 'tr|A7F577|A7F577_SCLS1', 'tr|Q6CBU7|Q6CBU7_YARLI', 'sp|O74941|PEX1_SCHPO'
HOG_0419190_sub14022	'tr|Q4WTZ8|Q4WTZ8_ASPFU', 'tr|A7EWN8|A7EWN8_SCLS1'
HOG_0704062_sub13445	'tr|Q4WJ32|Q4WJ32_ASPFU', 'tr|A7ER97|A7ER97_SCLS1', 'sp|O13932|BET1_SCHPO'
HOG_0426071_sub11610	'tr|Q4WEP1|Q4WEP1_ASPFU', 'tr|A7EEL6|A7EEL6_SCLS1'
HOG_0681842_sub12832	'sp|Q4WPF7|DPH4_ASPFU', 'tr|A7EGF7|A7EGF7_SCLS1'
HOG_0417493_sub13446	'tr|Q4WUG1|Q4WUG1_ASPFU', 'tr|A7EDA6|A7EDA6_SCLS1', 'sp|O74452|SCW1_SCHPO'
HOG_0680713_sub10278	'tr|Q4WK37|Q4WK37_ASPFU', 'tr|A7EGH8|A7EGH8_SCLS1', 'sp|P40005|PFD2_YEAST', 'tr|B5FVE1|B5FVE1_YARLI', 'sp|Q9UTC9|PFD2_SCHPO'
HOG_0699069_sub10759	'tr|Q4WWP5|Q4WWP5_ASPFU', 'tr|A7EV19|A7EV19_SCLS1', 'sp|P36150|SUMT_YEAST', 'tr|Q6CI67|Q6CI67_YARLI', 'sp|O74468|SUMT_SCHPO'
HOG_0428577_sub14366	'tr|Q4WRI0|Q4WRI0_ASPFU', 'tr|Q6CDW7|Q6CDW7_YARLI'
HOG_0429690_sub14004	'tr|Q4WKB1|Q4WKB1_ASPFU', 'tr|A7EGJ0|A7EGJ0_SCLS1', 'sp|P53925|YNL5_YEAST', 'tr|Q6C174|Q6C174_YARLI', 'sp|O13912|YDW6_SCHPO'
HOG_0685742_sub10556	'tr|Q4WE76|Q4WE76_ASPFU', 'tr|A7EUD9|A7EUD9_SCLS1', 'tr|Q6C1Q0|Q6C1Q0_YARLI'
HOG_0685942_sub11366	'tr|Q4WVF3|Q4WVF3_ASPFU', 'tr|A7ET26|A7ET26_SCLS1', 'sp|P39993|GEA2_YEAST', 'tr|Q6C5B2|Q6C5B2_YARLI', 'sp|Q9P7R8|YHV3_SCHPO'
HOG_0429572_sub12737	'sp|P25559|DCC1_YEAST', 'tr|Q6CBF9|Q6CBF9_YARLI'
HOG_0418057_sub10219	'tr|Q4X254|Q4X254_ASPFU', 'tr|A7EUB6|A7EUB6_SCLS1'
HOG_0679387_sub11049	'tr|Q4WXJ0|Q4WXJ0_ASPFU', 'tr|A7F3F1|A7F3F1_SCLS1', 'sp|Q08234|YO075_YEAST', 'tr|Q6C7S1|Q6C7S1_YARLI'
HOG_0679387_sub11058	'sp|E9RBG1|ABCC_ASPFU', 'tr|A7EAS5|A7EAS5_SCLS1', 'sp|P51533|PDR10_YEAST', 'tr|Q6C5V9|Q6C5V9_YARLI', 'sp|P41820|BFR1_SCHPO'
HOG_0679387_sub11017	'sp|Q02785|PDR12_YEAST', 'tr|Q6C1A3|Q6C1A3_YARLI'
HOG_0679387_sub11045	'sp|Q4WUS1|ABCI_ASPFU', 'tr|A7EGP1|A7EGP1_SCLS1'
HOG_0679387_sub11046	'sp|Q4WFQ4|ABCH_ASPFU', 'tr|A7F7S9|A7F7S9_SCLS1'
HOG_0679387_sub11044	'sp|Q4WDD4|ATRF_ASPFU', 'tr|A7EN16|A7EN16_SCLS1'
HOG_0429178_sub10419	'tr|Q4WH95|Q4WH95_ASPFU', 'tr|A7EIS4|A7EIS4_SCLS1', 'sp|P24482|DPB2_YEAST', 'sp|Q6C030|DPB2_YARLI', 'sp|O94263|DPB2_SCHPO'
HOG_0417490_sub10168	'tr|Q4WTX7|Q4WTX7_ASPFU', 'tr|A7EH39|A7EH39_SCLS1'
HOG_0436415_sub12004	'tr|Q4WY47|Q4WY47_ASPFU', 'tr|A7EQB6|A7EQB6_SCLS1'
HOG_0429165_sub11474	'tr|Q4WV67|Q4WV67_ASPFU', 'tr|A7ET14|A7ET14_SCLS1', 'sp|P40009|YND1_YEAST', 'tr|Q6CBD9|Q6CBD9_YARLI', 'sp|Q9USP2|YND1_SCHPO'
HOG_0417554_sub13850	'sp|Q4X228|STUA_ASPFU', 'tr|A7ES51|A7ES51_SCLS1', 'tr|Q6CAM0|Q6CAM0_YARLI'
HOG_0355687_sub14194	'sp|Q06188|YL455_YEAST', 'tr|Q6CD93|Q6CD93_YARLI'
HOG_0434089_sub10841	'tr|Q4X1X9|Q4X1X9_ASPFU', 'sp|Q06537|YP153_YEAST', 'tr|B5FVH6|B5FVH6_YARLI'
