0	'tr|Q6C3N9|Q6C3N9_YARLI', 'tr|A7F574|A7F574_SCLS1', 'tr|Q4X1E4|Q4X1E4_ASPFU'
1	'tr|A7E4J1|A7E4J1_SCLS1', 'sp|Q4WDF1|EPL1_ASPFU'
2	'tr|Q4WJK2|Q4WJK2_ASPFU', 'tr|A7EQ09|A7EQ09_SCLS1'
3	'tr|Q6C706|Q6C706_YARLI', 'sp|Q12455|SPSY_YEAST'
4	'tr|A7EY67|A7EY67_SCLS1', 'sp|Q09741|SPEE_SCHPO', 'tr|E9R3W5|E9R3W5_ASPFU', 'tr|Q6C3P7|Q6C3P7_YARLI', 'sp|Q12074|SPEE_YEAST'
5	'tr|Q4X0V8|Q4X0V8_ASPFU', 'sp|Q9USJ8|CTK3_SCHPO'
6	'tr|Q4X196|Q4X196_ASPFU', 'tr|A7E450|A7E450_SCLS1', 'sp|Q08224|THI20_YEAST', 'tr|Q6C731|Q6C731_YARLI', 'sp|Q08975|THI21_YEAST', 'sp|O94266|THI22_SCHPO', 'sp|Q06490|THI22_YEAST'
7	'sp|Q12343|MED4_YEAST', 'sp|Q8WZL6|MED4_YARLI'
8	'tr|A7EA31|A7EA31_SCLS1', 'tr|Q4WN51|Q4WN51_ASPFU'
9	'tr|Q4WBR7|Q4WBR7_ASPFU', 'sp|P53051|MALX3_YEAST', 'sp|Q08295|IMA2_YEAST', 'sp|P0CW41|MALX4_YEAST', 'tr|Q4WWX0|Q4WWX0_ASPFU', 'tr|Q4WGV7|Q4WGV7_ASPFU', 'sp|P38158|MAL32_YEAST', 'sp|P40884|IMA5_YEAST', 'sp|P53341|MAL12_YEAST', 'tr|A7F0I2|A7F0I2_SCLS1', 'sp|P0CW40|MALX2_YEAST'
10	'tr|Q4X110|Q4X110_ASPFU', 'tr|Q4X109|Q4X109_ASPFU'
11	'tr|A7EGM3|A7EGM3_SCLS1', 'tr|Q4WS55|Q4WS55_ASPFU'
